power,error*kP,integral*kI,derivative*kD
12000.000000,86877.703125,144.796173,1447961.625000
12000.000000,86877.703125,289.592346,0.000000
12000.000000,86465.203125,433.700989,-6875.000000
12000.000000,85947.703125,576.947205,-8625.000000
12000.000000,84935.203125,718.505859,-16875.000000
12000.000000,84777.703125,859.802063,-2625.000000
12000.000000,84575.203125,1000.760742,-3375.000000
12000.000000,84365.203125,1141.369507,-3500.000000
12000.000000,83780.203125,1281.003174,-9750.000000
12000.000000,83420.203125,1420.036865,-6000.000000
12000.000000,82767.703125,1557.983032,-10875.000000
12000.000000,82542.703125,1695.554077,-3750.000000
12000.000000,82070.203125,1832.337769,-7875.000000
12000.000000,81807.703125,1968.683838,-4375.000000
12000.000000,81215.203125,2104.042480,-9875.000000
12000.000000,80885.203125,2238.851074,-5500.000000
12000.000000,80127.703125,2372.397217,-12625.000000
12000.000000,79715.203125,2505.255615,-6875.000000
12000.000000,78792.703125,2636.576904,-15375.000000
12000.000000,78312.703125,2767.097900,-8000.000000
12000.000000,77285.203125,2895.906494,-17125.000000
12000.000000,76752.703125,3023.827637,-8875.000000
12000.000000,75627.703125,3149.873779,-18750.000000
12000.000000,75035.203125,3274.932373,-9875.000000
12000.000000,73850.203125,3398.016113,-19750.000000
12000.000000,73227.703125,3520.062256,-10375.000000
12000.000000,71960.203125,3639.995850,-21125.000000
12000.000000,71307.703125,3758.841797,-10875.000000
12000.000000,69972.703125,3875.462891,-22250.000000
12000.000000,69305.203125,3990.971436,-11125.000000
12000.000000,67962.703125,4104.242676,-22375.000000
12000.000000,67272.703125,4216.363770,-11500.000000
12000.000000,65832.703125,4326.084961,-24000.000000
12000.000000,65090.199219,4434.568359,-12375.000000
12000.000000,63530.199219,4540.452148,-26000.000000
12000.000000,62712.699219,4644.973145,-13625.000000
12000.000000,61107.699219,4746.819336,-26750.000000
12000.000000,60297.699219,4847.315430,-13500.000000
12000.000000,58685.199219,4945.124023,-26875.000000
12000.000000,57875.199219,5041.582520,-13500.000000
12000.000000,56210.199219,5135.266113,-27750.000000
12000.000000,55385.199219,5227.574707,-13750.000000
12000.000000,53750.199219,5317.158203,-27250.000000
12000.000000,52932.699219,5405.379395,-13625.000000
12000.000000,51237.699219,5490.775391,-28250.000000
12000.000000,50352.699219,5574.696777,-14750.000000
12000.000000,48590.199219,5655.680176,-29375.000000
12000.000000,47697.699219,5735.176270,-14875.000000
12000.000000,46025.199219,5811.884766,-27875.000000
12000.000000,45125.199219,5887.093262,-15000.000000
12000.000000,43302.699219,5959.264648,-30375.000000
12000.000000,42395.199219,6029.923340,-15125.000000
12000.000000,40572.699219,6097.544434,-30375.000000
12000.000000,39657.699219,6163.640137,-15250.000000
12000.000000,37835.199219,6226.698730,-30375.000000
12000.000000,36920.199219,6288.232422,-15250.000000
10406.867188,35060.199219,6346.666016,-31000.000000
12000.000000,34092.699219,6403.487305,-16125.000000
8750.007812,32292.699219,6457.308105,-30000.000000
12000.000000,31355.199219,6509.566895,-15625.000000
6379.050781,29570.199219,6558.851074,-29750.000000
12000.000000,28647.699219,6606.597168,-15375.000000
5221.703125,26945.199219,6651.505371,-28375.000000
12000.000000,26135.199219,6695.063965,-13500.000000
6106.296875,24620.199219,6736.097656,-25250.000000
12000.000000,23915.199219,6775.956543,-11750.000000
6613.738281,22550.199219,6813.540039,-22750.000000
12000.000000,21717.699219,6849.735840,-13875.000000
113.443359,20105.199219,6883.244629,-26875.000000
12000.000000,19265.199219,6915.353027,-14000.000000
6468.298828,18147.699219,6945.599121,-18625.000000
12000.000000,17427.699219,6974.645508,-12000.000000
-5516.433594,15732.700195,7000.866699,-28250.000000
8580.949219,14930.200195,7025.750000,-13375.000000
11379.833984,14330.200195,7049.633789,-10000.000000
12000.000000,13940.200195,7072.867188,-6500.000000
-3743.537109,12537.700195,7093.763184,-23375.000000
4015.884766,11652.700195,7113.184570,-14750.000000
7654.255859,11022.700195,7131.555664,-10500.000000
11812.027344,10662.700195,7149.326660,-6000.000000
-3769.740234,9440.200195,7165.060059,-20375.000000
2309.644531,8630.200195,7179.443848,-13500.000000
7873.277344,8180.200195,7193.077637,-7500.000000
12000.000000,7992.700195,7206.398438,-3125.000000
-4266.917969,6890.200195,7217.882324,-18375.000000
868.316406,6140.200195,7228.115723,-12500.000000
6487.899414,5750.200195,7237.699219,-6500.000000
11009.794922,5637.700195,7247.095215,-1875.000000
-2874.795898,4745.200195,7255.003906,-14875.000000
-315.549805,4047.700195,7261.750000,-11625.000000
7473.333984,3830.200195,7268.133789,-3625.000000
10044.617188,3770.200195,7274.417480,-1000.000000
-3127.936523,2967.700195,7279.363281,-13375.000000
-879.041016,2337.700195,7283.259277,-10500.000000
5781.993164,2120.200195,7286.792969,-3625.000000
9278.013672,2112.700195,7290.313965,-125.000000
-796.927734,1535.200195,7292.872559,-9625.000000
-975.292969,980.200195,7294.506348,-9250.000000
5361.064941,815.200195,7295.864746,-2750.000000
7714.886230,792.700195,7297.186035,-375.000000
-1847.229980,230.200195,7297.569824,-9375.000000